Text,Label,Cleaned_Text
আগে তো আন্তর্জাতিক বাজারে কম ছিল তখন ও বাংলাদেশে বেশি ছিল কেন,1.0,আগে তো আন্তর্জাতিক বাজারে কম ছিল তখন ও বাংলাদেশে বেশি ছিল কেন
তার মানে আমাদের সামনের দিন গুলোতে আরো বরো বরো বিপদ অপেক্ষা করছে,0.0,তার মানে আমাদের সামনের দিন গুলোতে আরো বরো বরো বিপদ অপেক্ষা করছে
অবৈধ সরকারের কারনে দেশ আজ দেউলিয়ার পথে,0.0,অবৈধ সরকারের কারনে দেশ আজ দেউলিয়ার পথে
সমাজে কিছু চেটে খাওয়া মানুষদের জন্য খেটে খাওয়া মানুষগুলোর জীবন আজ বিপন্ন,2.0,সমাজে কিছু চেটে খাওয়া মানুষদের জন্য খেটে খাওয়া মানুষগুলোর জীবন আজ বিপন্ন
সরকারি লোকের বেতন কমানো হোক,0.0,সরকারি লোকের বেতন কমানো হোক
সামনের দিন গুলো আরও ভয়াবহ অবস্থা হবে,2.0,সামনের দিন গুলো আরও ভয়াবহ অবস্থা হবে
প্রেমের টানে বাংলাদেশের অর্থনীতি শ্রীলঙ্কার দিকে,0.0,প্রেমের টানে বাংলাদেশের অর্থনীতি শ্রীলঙ্কার দিকে
অসাধারণ উন্নয়ন জোয়ার এসেছে আামাদের দেশে,1.0,অসাধারণ উন্নয়ন জোয়ার এসেছে আামাদের দেশে
জিনিসপত্রের দাম বাড়তেই পারে,2.0,জিনিসপত্রের দাম বাড়তেই পারে
দ্রব্যমূল্যের এই বাজারে মানুষের ক্রয়ক্ষমতা কীভাবে ৫ গুণ বাড়ে,1.0,দ্রব্যমূল্যের এই বাজারে মানুষের ক্রয়ক্ষমতা কীভাবে ৫ গুণ বাড়ে
জনগণের কষ্টে এই সরকারের কিছু আসে যায় না,0.0,জনগণের কষ্টে এই সরকারের কিছু আসে যায় না
আজ যদি বি এন পি জামাত জঙ্গিরা ক্ষমতায় থাকতো তাহলে আজ বাংলাদেশ শ্রীলঙ্কার মতো হয়ে যেত,2.0,আজ যদি বি এন পি জামাত জঙ্গিরা ক্ষমতায় থাকতো তাহলে আজ বাংলাদেশ শ্রীলঙ্কার মতো হয়ে যেত
বি এন পি জামাত জঙ্গিদের হাত থেকে দেশকে বাঁচিয়েছেন আর আমাদের মাননীয় প্রধানমন্ত্রী শেখ হাসিনার অক্লান্ত পরিশ্রমে,1.0,বি এন পি জামাত জঙ্গিদের হাত থেকে দেশকে বাঁচিয়েছেন আর আমাদের মাননীয় প্রধানমন্ত্রী শেখ হাসিনার অক্লান্ত পরিশ্রমে
বাংলাদেশ আওয়ামী লীগ ২০২৪ সালে জানুয়ারি তে আবার সরকার এর দায়িত্ব নেবে,2.0,বাংলাদেশ আওয়ামী লীগ ২০২৪ সালে জানুয়ারি তে আবার সরকার এর দায়িত্ব নেবে
তারা ক্ষমতা ছাড়লে না আবার দায়িত্ব নিবে,0.0,তারা ক্ষমতা ছাড়লে না আবার দায়িত্ব নিবে
তত্ত্বাবধায়ক সরকারের হাতে নির্বাচন হয় ১০  ও ভোট পাবেনা,0.0,তত্ত্বাবধায়ক সরকারের হাতে নির্বাচন হয় ১০ ও ভোট পাবেনা
বাংলাদেশে রক্তের বন্যা বয়ে গেলেও ক্ষমতা ছাড়বেনা,0.0,বাংলাদেশে রক্তের বন্যা বয়ে গেলেও ক্ষমতা ছাড়বেনা
এই মহান নেতা ঠিক কথা বলেছেন আমি এই নেতাকে ফুলের শুভেচ্ছা,0.0,এই মহান নেতা ঠিক কথা বলেছেন আমি এই নেতাকে ফুলের শুভেচ্ছা
আপনি প্রমাণ করলেন সবাই দল কানা না সবার আগে দেশ তার পর দল,2.0,আপনি প্রমাণ করলেন সবাই দল কানা না সবার আগে দেশ তার পর দল
তন্ত্র মন্ত্র বাদ দিন বাংলাদেশ ইসলামী ফ্রন্টে যোগদিন,2.0,তন্ত্র মন্ত্র বাদ দিন বাংলাদেশ ইসলামী ফ্রন্টে যোগদিন
পরিত্যাক্ত নেতা শেখ হাসিনার অধিনে র্নিবাচন হবে,0.0,পরিত্যাক্ত নেতা শেখ হাসিনার অধিনে র্নিবাচন হবে
শেখ হাসিনার অধীনে নির্বাচনে সব দল অংশ নিবে,1.0,শেখ হাসিনার অধীনে নির্বাচনে সব দল অংশ নিবে
আওয়ামীলীগের দুর্নীতিবাজ রা এদেশের গনতন্ত্র কে আওয়ামী তন্ত্র বানিয়েছে,0.0,আওয়ামীলীগের দুর্নীতিবাজ রা এদেশের গনতন্ত্র কে আওয়ামী তন্ত্র বানিয়েছে
১৮ কটি মানুষ তো ওনার সাথে নিকায় বসছে ওনার মতো পাতি নেতার কথায় ১৮ কটি মানুষ সায় দিবো,0.0,১৮ কটি মানুষ তো ওনার সাথে নিকায় বসছে ওনার মতো পাতি নেতার কথায় ১৮ কটি মানুষ সায় দিবো
বতর্মান সংকট থেকে উতরানের জন্য জনগণের ঐক্যবদ্ধ হওয়া উচিৎ,1.0,বতর্মান সংকট থেকে উতরানের জন্য জনগণের ঐক্যবদ্ধ হওয়া উচিৎ
তথ্যমন্ত্রীর মত অনেক এমপি মন্ত্রী গ্রামগঞ্জে মেম্বারের যোগ্যতাই নাই,2.0,তথ্যমন্ত্রীর মত অনেক এমপি মন্ত্রী গ্রামগঞ্জে মেম্বারের যোগ্যতাই নাই
আমাদের সামনের দিন গুলোতে আরো বরো বরো বিপদ অপেক্ষা করছে,0.0,আমাদের সামনের দিন গুলোতে আরো বরো বরো বিপদ অপেক্ষা করছে
অবৈধ সরকারের কারনে দেশ আজ দেউলিয়ার পথেএই সরকারের পতন চাই,0.0,অবৈধ সরকারের কারনে দেশ আজ দেউলিয়ার পথেএই সরকারের পতন চাই
সমাজে কিছু চেটে খাওয়া মানুষদের জন্য খেটে খাওয়া মানুষগুলোর জীবন আজ বিপন্ন,2.0,সমাজে কিছু চেটে খাওয়া মানুষদের জন্য খেটে খাওয়া মানুষগুলোর জীবন আজ বিপন্ন
শ্রীলঙ্কা হতে আর বেশি দিন বাকি নাই শ্রীলংকার সরকার যে ভুল করেছে একই ভুল বাংলাদেশ সরকার করতেছে,0.0,শ্রীলঙ্কা হতে আর বেশি দিন বাকি নাই শ্রীলংকার সরকার যে ভুল করেছে একই ভুল বাংলাদেশ সরকার করতেছে
সরকারি লোকের বেতন কমানো হোক,2.0,সরকারি লোকের বেতন কমানো হোক
সামনের দিন গুলো আরও ভয়াবহ অবস্থা হবে,2.0,সামনের দিন গুলো আরও ভয়াবহ অবস্থা হবে
অসাধারণ উন্নয়ন জোয়ার এসেছে আামাদের দেশে,1.0,অসাধারণ উন্নয়ন জোয়ার এসেছে আামাদের দেশে
নিত্যপ্রয়োজনীয় জিনিসপত্রের দাম বৃদ্ধি বিপাকে সাধারণ জনগণ,1.0,নিত্যপ্রয়োজনীয় জিনিসপত্রের দাম বৃদ্ধি বিপাকে সাধারণ জনগণ
সবকিছুর দাম আবার আগের মত করে দেওয়া হোক জোর দাবি জানাচ্ছি,1.0,সবকিছুর দাম আবার আগের মত করে দেওয়া হোক জোর দাবি জানাচ্ছি
দেশের সাংবিধানে এবং সাংবাদিক যন্ত্র আংশ গুলোর পরিবর্তন অনিবার্য,2.0,দেশের সাংবিধানে এবং সাংবাদিক যন্ত্র আংশ গুলোর পরিবর্তন অনিবার্য
সরকার কি করে আমার মাথায় আসেনা সাধারন মানুষ কিকরে চলবে,0.0,সরকার কি করে আমার মাথায় আসেনা সাধারন মানুষ কিকরে চলবে
হাজার হাজার কোটি টাকা পাচার হয়ে গেছে সংকট হবে না তো কি হবে,0.0,হাজার হাজার কোটি টাকা পাচার হয়ে গেছে সংকট হবে না তো কি হবে
সরকারের উচিত সব কিছু দাম কমানো না হলে দেশের মানুষ না খেতে পেয়ে মরবে,2.0,সরকারের উচিত সব কিছু দাম কমানো না হলে দেশের মানুষ না খেতে পেয়ে মরবে
মানুষ যদি খেতেই না পারে তাহলে উন্নয়ন দি কি হবে,2.0,মানুষ যদি খেতেই না পারে তাহলে উন্নয়ন দি কি হবে
না খেয়ে মানুষ তো রুগী যাতে না হয় সেই দিকে খেয়াল রাখা সরকারের উচিৎ,0.0,না খেয়ে মানুষ তো রুগী যাতে না হয় সেই দিকে খেয়াল রাখা সরকারের উচিৎ
সব কিছুর উন্নয়ন চলতেছে দাম কমলে তো উন্নয়ন উন্নয়ন হবে না,0.0,সব কিছুর উন্নয়ন চলতেছে দাম কমলে তো উন্নয়ন উন্নয়ন হবে না
আল্লাহ ছাড়া আর কোন উপায় নেই আল্লাহ চাইলে বাঁচব না হলে কিছু করার নেই,0.0,আল্লাহ ছাড়া আর কোন উপায় নেই আল্লাহ চাইলে বাঁচব না হলে কিছু করার নেই
এসব ব্যবসায়ীরা কারা,0.0,এসব ব্যবসায়ীরা কারা
অজুহাত মানে কি তেলের দাম বেশী বাড়া কি কম হবে ,0.0,অজুহাত মানে কি তেলের দাম বেশী বাড়া কি কম হবে
প্রধান মন্ত্রীর কাছে আবেদন জানাই সব কিছুর দাম কমানো হোক,0.0,প্রধান মন্ত্রীর কাছে আবেদন জানাই সব কিছুর দাম কমানো হোক
সব কিছুর দাম বাড়ে আমাদের বেতন কেন বাড়ে না ,0.0,সব কিছুর দাম বাড়ে আমাদের বেতন কেন বাড়ে না
জ্বালানি তৈল এর দাম বাড়ার সাথে সাথে সকল পন্যের দাম বাড়ানোয় বড় ছোট কোন ব্যবসায়ীর কোন ক্ষতি হয়নী,0.0,জ্বালানি তৈল এর দাম বাড়ার সাথে সাথে সকল পন্যের দাম বাড়ানোয় বড় ছোট কোন ব্যবসায়ীর কোন ক্ষতি হয়নী
দ্রব্যমুল্যের উর্ধগতিতে জীবন পরিচালনা বড়ই কষ্টের,0.0,দ্রব্যমুল্যের উর্ধগতিতে জীবন পরিচালনা বড়ই কষ্টের
একজন মধ্যবিত্তই জানে এইগুলার কষ্ট,0.0,একজন মধ্যবিত্তই জানে এইগুলার কষ্ট
দ্রব্যমূল্যের দাম বৃদ্ধিতে সাধারণ মানুষ এত অসহায়,0.0,দ্রব্যমূল্যের দাম বৃদ্ধিতে সাধারণ মানুষ এত অসহায়
সরকারকে দ্রুত পদক্ষেপ নেওয়া উচিত,0.0,সরকারকে দ্রুত পদক্ষেপ নেওয়া উচিত
বাংলাদেশের অর্থনীতিকে স্বাবলম্বী করতে গেলে বৈদেশিক রিজার্ভ বৃদ্ধি করতে হবে,0.0,বাংলাদেশের অর্থনীতিকে স্বাবলম্বী করতে গেলে বৈদেশিক রিজার্ভ বৃদ্ধি করতে হবে
সারাবিশ্বে সংকট চলছে,0.0,সারাবিশ্বে সংকট চলছে
সংকটের মুহূর্তে সবাইকে দলবদ্ধভাবে সামনে আগাতে হবে,0.0,সংকটের মুহূর্তে সবাইকে দলবদ্ধভাবে সামনে আগাতে হবে
আমাদের দেশের ব্যবসায়িরা কসাই থেকে ও খারাপ,0.0,আমাদের দেশের ব্যবসায়িরা কসাই থেকে ও খারাপ
ব্যবসায়িরা শুধু বলে আমদানি নাই তা হলে মাল গুলো কোথায় থেকে আসে টাকা দিলে মাল পাওয়া যায়,0.0,ব্যবসায়িরা শুধু বলে আমদানি নাই তা হলে মাল গুলো কোথায় থেকে আসে টাকা দিলে মাল পাওয়া যায়
আমাদের সাধারন কর্মচারির বেতন বাড়ানোর দিকে কারো নজর নেই,0.0,আমাদের সাধারন কর্মচারির বেতন বাড়ানোর দিকে কারো নজর নেই
সংসদ ও মন্ত্রীসভা যখন ব্যবসায়ীতে ভরপুর তখন এর থেকে ভাল কিছু আশা করা যায় না,0.0,সংসদ ও মন্ত্রীসভা যখন ব্যবসায়ীতে ভরপুর তখন এর থেকে ভাল কিছু আশা করা যায় না
সাধারণ মানুষের পকেট কেটে পকেট ভর্তি করছে কারা ,0.0,সাধারণ মানুষের পকেট কেটে পকেট ভর্তি করছে কারা
খেয়ে না বাচলে উন্নয়ন দিয়ে কি করব এমন উন্নয়ন এর দরকার নেই,0.0,খেয়ে না বাচলে উন্নয়ন দিয়ে কি করব এমন উন্নয়ন এর দরকার নেই
বাংলাদেশ থেকে প্রত্যেক বছর কয়েকশো কোটি টাকা দেশের বাইরে চলে যাচ্ছে যার কারণে মুদ্রাস্ফীতি হচ্ছে,0.0,বাংলাদেশ থেকে প্রত্যেক বছর কয়েকশো কোটি টাকা দেশের বাইরে চলে যাচ্ছে যার কারণে মুদ্রাস্ফীতি হচ্ছে
সারা বছর জুড়ে নিত্যপ্রয়োজনীয় পণ্য মূল্য নিয়ন্ত্রণে রাখতে সকল এলাকায় সরকারি তত্ত্বাবধানে ন্যায্য মূল্যের দোকান করতেই হবে,0.0,সারা বছর জুড়ে নিত্যপ্রয়োজনীয় পণ্য মূল্য নিয়ন্ত্রণে রাখতে সকল এলাকায় সরকারি তত্ত্বাবধানে ন্যায্য মূল্যের দোকান করতেই হবে
জ্বালানির দাম কোনভাবেই বাড়ানো যাবে না এটা সকল বাজার ব্যবস্থাপনার উপরই ব্যাপকভাবে প্রভাব ফেলে,0.0,জ্বালানির দাম কোনভাবেই বাড়ানো যাবে না এটা সকল বাজার ব্যবস্থাপনার উপরই ব্যাপকভাবে প্রভাব ফেলে
কৃষক নিত্যপণ্য যে দামে বিক্রি করেরাস্তায় চাদাবাজি আর সিন্ডিকেটের কারণে সেই নিত্যপণ্য দাম তিনগুণ বেড়ে যায়,0.0,কৃষক নিত্যপণ্য যে দামে বিক্রি করেরাস্তায় চাদাবাজি আর সিন্ডিকেটের কারণে সেই নিত্যপণ্য দাম তিনগুণ বেড়ে যায়
জনগণ যদি বেঁচে না থাকে ৪লেন রাস্তাপদ্মা সেতুম্রেট্টরেল এগুলো নিছক বিলাসিতা ছাড়া কিছুই না,0.0,জনগণ যদি বেঁচে না থাকে ৪লেন রাস্তাপদ্মা সেতুম্রেট্টরেল এগুলো নিছক বিলাসিতা ছাড়া কিছুই না
জনগণের আয় না বেড়ে বড় বড় উন্নয়ন করে কী লাভ,0.0,জনগণের আয় না বেড়ে বড় বড় উন্নয়ন করে কী লাভ
সরকারের মন মানসিকতা ভালো থাকলে 24ঘণ্টার মধ্যে সারা বাংলাদেশকে কন্ট্রোল করতে পারে,0.0,সরকারের মন মানসিকতা ভালো থাকলে 24ঘণ্টার মধ্যে সারা বাংলাদেশকে কন্ট্রোল করতে পারে
যদি বাহিরের সব দেশে নিত্যপ্রয়োজনীয় জিনিসের সব দাম সরকার নিয়ন্ত্রণ করতে পারেতাহলে বাংলাদেশের সরকার পারবে না কেন,0.0,যদি বাহিরের সব দেশে নিত্যপ্রয়োজনীয় জিনিসের সব দাম সরকার নিয়ন্ত্রণ করতে পারেতাহলে বাংলাদেশের সরকার পারবে না কেন
সারা বিশ্বের পরিস্থিতি খারাপ তাই আন্দোলন না করে সরকারকে সহযোগীতা করুন,0.0,সারা বিশ্বের পরিস্থিতি খারাপ তাই আন্দোলন না করে সরকারকে সহযোগীতা করুন
এই দাম বৃদ্ধি সাধারণ মানুষের স্বাভাবিক জীবনযাত্রা কে কঠিন করে তুলবে,0.0,এই দাম বৃদ্ধি সাধারণ মানুষের স্বাভাবিক জীবনযাত্রা কে কঠিন করে তুলবে
দ্রব্য মূল্যের দাম বৃদ্ধি পেলে জনগণ সরকার কে দায়ী করবে,0.0,দ্রব্য মূল্যের দাম বৃদ্ধি পেলে জনগণ সরকার কে দায়ী করবে
দেশের স্বাভাবিক পরিস্থিতি নিয়ন্ত্রণে এখনই সচেতন হওয়া উচিত,0.0,দেশের স্বাভাবিক পরিস্থিতি নিয়ন্ত্রণে এখনই সচেতন হওয়া উচিত
চুপ করে থাকা লোকদেরও আজ থেকে এই দামে কিনতে হবে,0.0,চুপ করে থাকা লোকদেরও আজ থেকে এই দামে কিনতে হবে
মাননীয় প্রধানমন্ত্রী দেশরত্ন শেখ হাসিনার উচিৎ এই দিক টা একটু ভেবে দেখা,0.0,মাননীয় প্রধানমন্ত্রী দেশরত্ন শেখ হাসিনার উচিৎ এই দিক টা একটু ভেবে দেখা
সরকার দলীয় লোকজন কি এই বৃদ্ধিতে খুশি কিংবা আনন্দ মিছিল করবে ,0.0,সরকার দলীয় লোকজন কি এই বৃদ্ধিতে খুশি কিংবা আনন্দ মিছিল করবে
দ্রব্য মূল্যের লাগামহীন উর্ধগতি সাথে জ্বালানির দাম বৃদ্ধি সাধারণ মানুষের নাভিশ্বাস হয়ে দাড়িয়েছে,0.0,দ্রব্য মূল্যের লাগামহীন উর্ধগতি সাথে জ্বালানির দাম বৃদ্ধি সাধারণ মানুষের নাভিশ্বাস হয়ে দাড়িয়েছে
বাংলাদেশে গত কয়েক সপ্তাহ ধরে বাজারে চাল ডাল পেঁয়াজ ও ভোজ্য তেলের মত নিত্যপ্রয়োজনীয় পণ্যের দাম যেভাবে বাড়ছে তা নিয়ে নিম্ন ও মধ্য আয়ের মানুষ ক্ষুব্ধ,0.0,বাংলাদেশে গত কয়েক সপ্তাহ ধরে বাজারে চাল ডাল পেঁয়াজ ও ভোজ্য তেলের মত নিত্যপ্রয়োজনীয় পণ্যের দাম যেভাবে বাড়ছে তা নিয়ে নিম্ন ও মধ্য আয়ের মানুষ ক্ষুব্ধ
একদটা দল যারা দেশের উন্নতি চায় নাতারা এসব ভুলভাল বকে দেশের উন্নয়নে বাধা সৃষ্টি করে,0.0,একদটা দল যারা দেশের উন্নতি চায় নাতারা এসব ভুলভাল বকে দেশের উন্নয়নে বাধা সৃষ্টি করে
আমাদের সুইচ ব্যাংক এ টাকা আছে তো চিন্তার কোন কারন নেই,0.0,আমাদের সুইচ ব্যাংক এ টাকা আছে তো চিন্তার কোন কারন নেই
সাধারণ মানুষ খুব খুশি,0.0,সাধারণ মানুষ খুব খুশি
দেশে উন্নয়ন হচ্ছে কিন্তু আমার আপনার মত গরীবগুলো আরো গরীব হচ্ছে,0.0,দেশে উন্নয়ন হচ্ছে কিন্তু আমার আপনার মত গরীবগুলো আরো গরীব হচ্ছে
কৃষকেরা চাষাবাদ করে কি করবে তারা তো তাদের উৎপাদন খরচ উঠাতে পারেনা,0.0,কৃষকেরা চাষাবাদ করে কি করবে তারা তো তাদের উৎপাদন খরচ উঠাতে পারেনা
সব কিছুর দাম বেড়ে দ্বিগুণ হয়েছে কিন্তু কৃষকের ধানের দাম বাড়েনা,0.0,সব কিছুর দাম বেড়ে দ্বিগুণ হয়েছে কিন্তু কৃষকের ধানের দাম বাড়েনা
বর্তমানে এমন কোন কৃষক নাই যে বলতে পারবে আমার লক্ষাধিক টাকা ঋণ নাই,0.0,বর্তমানে এমন কোন কৃষক নাই যে বলতে পারবে আমার লক্ষাধিক টাকা ঋণ নাই
আজ কৃষক আছে বলেই দেশের উন্নতির শিরোপা রাখতে পারবে দেশ,0.0,আজ কৃষক আছে বলেই দেশের উন্নতির শিরোপা রাখতে পারবে দেশ
কৃষক যদি শষ্য উৎপাদন না করে বর্তমানে দেশের যে পরিস্থিতি সব দ্রব্যমূল্যের দাম বৃদ্ধি তবে দেশটি আরও বিপাকে পরে যাবে,0.0,কৃষক যদি শষ্য উৎপাদন না করে বর্তমানে দেশের যে পরিস্থিতি সব দ্রব্যমূল্যের দাম বৃদ্ধি তবে দেশটি আরও বিপাকে পরে যাবে
এদেশে ধানের সঠিক দাম কৃষক পাবে নাকিন্তু এদেশে মদের দাম পায় আমলারা,0.0,এদেশে ধানের সঠিক দাম কৃষক পাবে নাকিন্তু এদেশে মদের দাম পায় আমলারা
খবরগুলো যতই চোখের সামনে পড়ে খুবই খারাপ লাগে,0.0,খবরগুলো যতই চোখের সামনে পড়ে খুবই খারাপ লাগে
সবকিছুই সরকারের কন্ট্রোলের বাইরে আল্লাহ্ জানে এ দেশ কিভাবে চলবে ,0.0,সবকিছুই সরকারের কন্ট্রোলের বাইরে আল্লাহ্ জানে এ দেশ কিভাবে চলবে
কৃষক শুধু নিজের খাবার টুকুর ব্যাবস্থা ছাড়া আবাদ না করুক,0.0,কৃষক শুধু নিজের খাবার টুকুর ব্যাবস্থা ছাড়া আবাদ না করুক
ডিজেল ও সারের দাম না কমালে আগামী মৌসুমে কৃষক আর ধান উৎপাদন করবেনা,0.0,ডিজেল ও সারের দাম না কমালে আগামী মৌসুমে কৃষক আর ধান উৎপাদন করবেনা
ডিজেল স্যারের দাম না কমলে কৃষক আবাদ করা বন্ধ করে দিবে,0.0,ডিজেল স্যারের দাম না কমলে কৃষক আবাদ করা বন্ধ করে দিবে
অবৈধ সরকারের কারনে দেশ আজ দেউলিয়ার পথে,0.0,অবৈধ সরকারের কারনে দেশ আজ দেউলিয়ার পথে
শেষ পর্যন্ত জনগণের ভুগান্তি,0.0,শেষ পর্যন্ত জনগণের ভুগান্তি
সবকিছুর দাম তো আগে থেকেই বেড়ে চলেছে নতুন করে কিসের দাম বাড়াতে চান ,0.0,সবকিছুর দাম তো আগে থেকেই বেড়ে চলেছে নতুন করে কিসের দাম বাড়াতে চান
জিনিসপত্রের দাম আর কি বাড়বে রে ভাই এমনিতেইতো জনগনের দেয়ালে পিঠ ঠেকে গেছে  ,0.0,জিনিসপত্রের দাম আর কি বাড়বে রে ভাই এমনিতেইতো জনগনের দেয়ালে পিঠ ঠেকে গেছে
ডিজেলের দাম যেভাবে বাড়াইছে সেভাবে অন্যান্য জিনিষপত্রের দামও বাড়াবে আরকি,0.0,ডিজেলের দাম যেভাবে বাড়াইছে সেভাবে অন্যান্য জিনিষপত্রের দামও বাড়াবে আরকি
আমাদের বাঁচার আর কোন রাস্তা নাই ,0.0,আমাদের বাঁচার আর কোন রাস্তা নাই
অবৈধ সরকারের কারনে দেশ আজ দেউলিয়ার পথে,0.0,অবৈধ সরকারের কারনে দেশ আজ দেউলিয়ার পথে
দেশ উন্নত হচ্ছে কি দ্রব্যমূল্যের দাম বাড়িয়ে ,0.0,দেশ উন্নত হচ্ছে কি দ্রব্যমূল্যের দাম বাড়িয়ে
বাংলাদেশের তৈরিকৃত গ্যাস ইন্ডিয়াতে দেওয়া হয় বলা হচ্ছে বাংলাদেশের গ্যাস শেষ হয়ে যাচ্ছে তাই বিদেশ থেকে আমদানি করা হবে আর গ্যাসের দাম বাড়িয়ে দেয়া হচ্ছে,0.0,বাংলাদেশের তৈরিকৃত গ্যাস ইন্ডিয়াতে দেওয়া হয় বলা হচ্ছে বাংলাদেশের গ্যাস শেষ হয়ে যাচ্ছে তাই বিদেশ থেকে আমদানি করা হবে আর গ্যাসের দাম বাড়িয়ে দেয়া হচ্ছে
আমাদের দেশে থ বেশী বিদেশি পণ্য বিক্রি হয় যেটা বেশী বিক্রি হয় সেটার দাম বাড়বে আর জেটা কম বিক্রি হয় দেশি পণ্য সেটার দাম কমবে,0.0,আমাদের দেশে থ বেশী বিদেশি পণ্য বিক্রি হয় যেটা বেশী বিক্রি হয় সেটার দাম বাড়বে আর জেটা কম বিক্রি হয় দেশি পণ্য সেটার দাম কমবে
বাজেট বাড়ায় শুধু লাভ তাদেরই যারা ভালো করে লুটতে পারবে শেষ পর্যন্ত খেয়ে দেয়ে যা থাকে পাবলিকের জন্য,0.0,বাজেট বাড়ায় শুধু লাভ তাদেরই যারা ভালো করে লুটতে পারবে শেষ পর্যন্ত খেয়ে দেয়ে যা থাকে পাবলিকের জন্য
১টা বিড়ি যেদিন ২৫ টাকা আর সিগারেট ৭০টাকা হবে সেদিন বুঝব দেশে সঠিক বাজেট বরাদ্দ হয়েছে,0.0,১টা বিড়ি যেদিন ২৫ টাকা আর সিগারেট ৭০টাকা হবে সেদিন বুঝব দেশে সঠিক বাজেট বরাদ্দ হয়েছে
